letter,weight,norm_weight,center,rel_center,inertia,norm_inertia
ཀ,11541,0.96175,"(60.112641885451865, 49.36314010917598)","(0.5009386823787655, 0.4936314010917598)","(14169791.565548712, 9939239.079802388)","(0.0984013303163105, 0.0690224936097388)"
ཁ,11548,0.9623333333333334,"(60.19631104953238, 49.51134395566332)","(0.5016359254127699, 0.49511343955663323)","(14200053.962850554, 9944201.513941847)","(0.09861148585312884, 0.06905695495792949)"
ག,11491,0.9575833333333335,"(60.14106692193891, 49.39248107214342)","(0.5011755576828242, 0.4939248107214342)","(14167326.330519337, 9935109.91036461)","(0.09838421062860651, 0.06899381882197646)"
ང,11612,0.9676666666666667,"(60.11858422321736, 49.554684808818465)","(0.5009882018601447, 0.49554684808818467)","(14225649.709524607, 9956972.275146406)","(0.09878923409392089, 0.06914564079962782)"
ཅ,11501,0.9584166666666667,"(60.23258847056778, 49.46265542126772)","(0.5019382372547315, 0.4946265542126772)","(14205142.825841123, 9954509.210503496)","(0.09864682517945224, 0.06912853618405206)"
ཆ,11449,0.9540833333333333,"(60.26124552362652, 49.48100270766006)","(0.502177046030221, 0.4948100270766006)","(14198413.614638532, 9950882.118088914)","(0.09860009454610091, 0.06910334804228413)"
ཇ,11502,0.9584999999999999,"(60.23830638149887, 49.58389845244305)","(0.5019858865124907, 0.49583898452443054)","(14197433.80220817, 9952024.5379934)","(0.0985932902931123, 0.06911128151384305)"
ཉ,11475,0.95625,"(60.044183006535945, 49.379520697167756)","(0.5003681917211329, 0.49379520697167756)","(14213678.599216638, 9945928.187363915)","(0.09870610138344887, 0.06906894574558274)"
ཏ,11501,0.9584166666666667,"(60.064516129032256, 49.47821928527954)","(0.5005376344086021, 0.49478219285279545)","(14178624.129032394, 9959391.793930952)","(0.09846266756272495, 0.06916244301340939)"
ཐ,11502,0.9584999999999999,"(60.20153016866632, 49.44435750304295)","(0.5016794180722193, 0.4944435750304295)","(14214314.85306909, 9951725.888801947)","(0.09871051981297979, 0.06910920756112464)"
ད,11511,0.9592499999999999,"(60.01476848232126, 49.44991747024585)","(0.5001230706860105, 0.4944991747024585)","(14193271.489357999, 9933482.877421563)","(0.09856438534276388, 0.06898251998209419)"
ན,11447,0.9539166666666666,"(60.07408054512099, 49.44194985585743)","(0.5006173378760083, 0.4944194985585743)","(14192287.179697748, 9949069.175679296)","(0.09855754985901215, 0.06909075816443956)"
པ,11605,0.9670833333333333,"(60.096940973718226, 49.495389918138734)","(0.5008078414476519, 0.4949538991813873)","(14236739.941404793, 9952145.003360698)","(0.09886624959308885, 0.06911211807889374)"
ཕ,11569,0.9640833333333333,"(60.158094908808025, 49.48483014953756)","(0.5013174575734002, 0.49484830149537556)","(14222543.844410751, 9951313.587691242)","(0.09876766558618577, 0.06910634435896695)"
བ,11571,0.9642499999999999,"(60.184599429608504, 49.481030161610924)","(0.5015383285800709, 0.4948103016161092)","(14206965.695618408, 9951182.586120509)","(0.09865948399735006, 0.06910543462583686)"
མ,11518,0.9598333333333333,"(60.211755513109914, 49.49435665914221)","(0.5017646292759159, 0.49494356659142213)","(14210514.528303249, 9951861.133182842)","(0.09868412866877256, 0.06911014675821418)"
ཙ,11447,0.9539166666666666,"(60.45496636673364, 49.37398445007425)","(0.503791386389447, 0.49373984450074254)","(14105274.535161806, 9936731.97256921)","(0.0979532953830681, 0.06900508314284173)"
ཚ,11382,0.9484999999999999,"(60.48673343876296, 49.385784572131435)","(0.5040561119896914, 0.49385784572131436)","(14099131.496748831, 9932367.019943804)","(0.0979106353940891, 0.06897477097183197)"
ཛ,11435,0.9529166666666667,"(60.46261477918671, 49.483865325754266)","(0.5038551231598892, 0.49483865325754267)","(14098272.767817885, 9931499.773152597)","(0.09790467199873532, 0.06896874842467081)"
ཝ,11504,0.9586666666666666,"(60.11943671766342, 49.42793810848401)","(0.5009953059805284, 0.49427938108484004)","(14232007.89395, 9939974.26069188)","(0.09883338815243056, 0.0690275990325825)"
ཞ,11428,0.9523333333333334,"(60.09459222961148, 49.315365768288416)","(0.5007882685800956, 0.49315365768288416)","(14200202.745799951, 9920209.42177103)","(0.09861251906805522, 0.06889034320674327)"
ཟ,11529,0.96075,"(60.195333506808915, 49.468557550524764)","(0.5016277792234076, 0.49468557550524767)","(14211940.108942527, 9959234.852112066)","(0.0986940285343231, 0.06916135313966712)"
འ,11590,0.9658333333333333,"(60.067989646246765, 49.480155306298535)","(0.5005665803853897, 0.49480155306298534)","(14246438.424158745, 9954506.935720397)","(0.09893360016776906, 0.06912852038694721)"
ཡ,11593,0.9660833333333333,"(60.06003622875873, 49.494177520917795)","(0.5005003019063228, 0.4949417752091779)","(14256820.214784855, 9947111.856982643)","(0.09900569593600594, 0.06907716567349058)"
ར,11657,0.9714166666666667,"(60.08046667238569, 49.51102341940465)","(0.500670555603214, 0.49511023419404654)","(14232574.522261282, 9972302.833490703)","(0.0988373230712589, 0.0692521030103521)"
ལ,11638,0.9698333333333333,"(60.10070458841725, 49.486251933321874)","(0.5008392049034771, 0.49486251933321873)","(14237441.974222345, 9954301.300309315)","(0.0988711248209885, 0.06912709236325913)"
ཤ,11498,0.9581666666666666,"(59.997999652113414, 49.34353800660985)","(0.49998333043427845, 0.4934353800660985)","(14219590.953992069, 9939509.024873825)","(0.0987471594027227, 0.06902436822829044)"
ས,11546,0.9621666666666667,"(60.22951671574571, 49.505543045210466)","(0.5019126392978809, 0.49505543045210465)","(14200459.78070198, 9952544.145245153)","(0.09861430403265264, 0.0691148898975358)"
ཧ,11495,0.9579166666666667,"(60.041409308394954, 49.46080904741192)","(0.5003450775699579, 0.4946080904741192)","(14213798.289168863, 9956330.09447589)","(0.09870693256367266, 0.06914118121163812)"
ཨ,11462,0.9551666666666666,"(60.240533938230676, 49.48516838248124)","(0.5020044494852557, 0.4948516838248124)","(14205619.847932266, 9934914.978624992)","(0.09865013783286296, 0.06899246512934022)"
